Text0001,http://msn.foxsports.com/foxsoccer/mexico/story/mexican-review-jan-19-toluca-secures-first-victory-beats-leon-011913,objective,109,0,1,7,9,0,5,8,6,0,0,0,0,29,0,0,12,0,0,1,2,2,0,0,2,0,3,0,0,11,0,2,0,0,0,1,0,1,0,2,0,0,0,4,2,0,0,0,0,0,3,0,11,0,0,0,0,1,18
Text0002,http://msn.foxsports.com/foxsoccer/premierleague/story/manchester-city-chief-david-platt-plays-down-mario-balotelli-ac-milan-link-012813,objective,309,21,4,1,19,1,4,35,23,0,0,0,2,93,1,0,17,0,0,7,5,16,0,0,0,1,3,0,0,13,7,13,9,14,0,0,0,3,0,8,7,0,0,19,3,0,5,0,1,0,10,0,13,0,14,9,1,1,14
Text0003,http://uk.eurosport.yahoo.com/04022011/58/fed-cup-britain-shade-danes-dramatic-win.html,objective,149,6,1,8,14,0,5,15,11,0,0,0,0,47,1,0,4,0,0,4,0,7,0,0,1,0,4,0,0,8,2,2,2,3,0,0,0,2,0,4,0,0,0,6,3,0,0,0,0,0,2,0,8,0,3,2,1,1,18
Text0004,http://uk.eurosport.yahoo.com/07022011/58/bundesliga-wolfsburg-sack-mcclaren.html,objective,305,18,5,7,26,0,10,37,21,1,1,0,0,83,2,0,18,0,0,6,2,9,1,0,1,2,9,0,1,13,12,6,1,7,1,1,0,1,0,5,3,0,0,13,17,0,0,0,0,0,8,3,13,1,7,1,1,1,20
Text0005,http://uk.eurosport.yahoo.com/05022011/58/fed-cup-groth-stuns-schiavone-hobart.html,objective,491,23,8,33,47,0,12,61,36,0,1,0,2,142,1,0,15,0,0,7,9,10,1,0,1,0,13,0,1,34,5,6,6,5,0,3,0,1,0,7,4,0,0,18,17,0,0,0,0,0,16,2,34,1,5,6,1,1,24
Text0006,http://msn.foxsports.com/nba/story/julius-erving-nba-star-accused-of-cheating-woman-out-of-420k-020511,objective,314,14,1,17,17,0,0,36,15,2,1,0,0,88,1,0,20,1,0,10,6,8,0,0,1,0,4,0,0,24,13,2,1,5,3,3,0,0,0,11,6,1,0,14,16,0,0,0,0,0,16,3,24,0,5,1,1,1,18
Text0007,http://uk.eurosport.yahoo.com/07022011/58/spain-double-laureus-sports-awards.html,objective,314,10,6,1,37,1,10,33,20,0,0,0,0,112,3,0,19,0,0,4,2,3,0,0,0,0,3,0,0,13,5,7,3,1,2,2,0,0,0,4,2,0,0,8,8,0,8,0,3,0,3,0,13,0,1,3,1,1,31
Text0008,http://msn.foxsports.com/collegebasketball/story/big-east-conference-looking-to-add-12th-school-commissioner-mike-aresco-says-012813,objective,462,19,6,5,47,0,0,40,39,0,1,0,9,101,1,0,31,0,0,20,7,16,0,0,1,3,11,0,3,21,16,8,10,16,1,2,0,3,0,16,9,0,0,24,17,0,0,0,2,2,13,1,21,3,16,10,1,1,17
Text0009,http://msn.foxsports.com/collegebasketball/story/butler-bulldogs-rotnei-clarke-returns-beat-temple-owls-012613,objective,808,40,11,49,71,1,6,94,44,2,1,0,0,162,7,0,56,0,0,23,10,34,0,0,10,8,20,0,3,59,23,7,4,12,2,6,0,7,0,23,10,0,0,45,43,0,0,0,1,2,18,3,59,3,12,4,1,1,17
Text0011,http://msn.foxsports.com/foxsoccer/europaleague/story/tottenham-3-1-panathinaikos-match-jermain-defoe-scores-winner-120612,objective,860,44,22,13,111,0,4,101,56,3,2,0,2,196,2,0,58,0,0,15,15,35,4,1,11,0,28,0,3,73,17,9,6,8,1,5,2,1,0,30,0,0,0,33,28,0,0,0,0,0,25,10,73,3,8,6,1,1,24
Text0012,http://msn.foxsports.com/foxsoccer/laliga/story/match-report-real-madrid-4-0-getafe-la-liga-week-twenty-one-012713,objective,497,25,9,15,44,0,19,64,22,2,1,0,1,137,11,0,21,0,0,11,8,25,0,0,6,4,11,0,3,32,9,8,4,4,1,1,0,1,0,11,6,0,0,27,11,0,0,0,0,2,8,3,32,3,4,4,1,1,17
Text0013,http://msn.foxsports.com/foxsoccer/latinamerica/story/san-lorenzo-demands-decision-about-newcastle-captain-fabricio-coloccini-011713,objective,106,4,0,1,4,0,9,7,7,0,0,0,2,32,0,0,5,0,0,6,3,2,0,0,0,0,5,0,0,3,0,2,2,4,0,0,0,1,0,2,4,0,0,8,2,0,0,0,0,0,7,0,3,0,4,2,1,1,10
Text0014,http://msn.foxsports.com/foxsoccer/mexico/story/chivas-coach-benjamin-galindo-needs-results-liga-mx-review-012113,objective,792,57,22,28,93,0,26,121,62,4,3,0,7,196,4,0,55,0,0,9,12,27,0,0,4,0,21,0,1,32,16,7,2,6,0,0,0,2,0,14,0,0,0,32,7,0,0,0,0,0,16,7,32,1,6,2,1,1,23
Text0016,http://msn.foxsports.com/foxsoccer/mls/story/new-england-revolution-select-andrew-farrell-with-top-draft-pick-011713,objective,246,11,2,6,27,0,12,30,23,0,2,0,0,59,0,0,9,0,0,6,3,7,0,0,0,3,5,0,0,20,3,4,3,2,0,2,0,2,0,5,4,0,0,20,8,0,0,0,0,0,7,2,20,0,2,3,1,1,10
Text0017,http://msn.foxsports.com/foxsoccer/premierleague/story/Milan-keen-to-sign-Balotelli-25964831,objective,614,30,10,21,68,1,13,90,38,4,0,0,3,147,5,0,28,0,0,8,13,29,1,0,4,0,10,0,1,42,9,17,4,8,1,2,0,0,0,18,3,0,0,28,18,1,1,0,0,0,19,5,42,1,8,4,1,1,20
Text0018,http://msn.foxsports.com/mlb/story/trick-pickoff-move-to-third-now-a-balk-in-major-league-baseball-012513,objective,143,16,1,2,20,0,0,13,12,0,1,0,4,41,0,0,10,0,0,0,0,7,0,0,1,0,6,0,3,5,2,3,1,1,0,0,0,0,0,3,0,0,0,8,4,0,0,0,0,0,0,1,5,3,1,1,1,1,14
